044903Garcia         Eliza          2843900
059529Walker         Bernadine      3185214
026364Wilson         Leila          1971415
029212Taylor         Bianca         1918115
014104Miller         Matilda        1859550
034070Martin         Barbra         2084750
034287Thomas         Bettye         1985450
037341Thompson       Georgina       2299250
058773Hall           Flossie        3095123
018940Smith          Luisa          1904225
021106Moore          Cornelia       2044125
038774White          Virgie         2154625
046111Rodriguez      Haley          2134532
012722Davis          Audra          1628100
034270Jackson        Randi          3005500
046134Robinson       Bridgette      2301235
059780Lee            Nola           2832145
011290Jones          Ofelia         1646950
039539Harris         Linda          2436550
043065Martinez       Leann          2169650
052823Lewis          Adela          3604563
012035Brown          Meagan         1450675
018642Williams       Magdalena      1038675
037783Anderson       Simone         2446375
012600Johnson        Jeri           1597885
041000Clark          Rhoda          2245698
